Ni,Si,Y,La,Ce,Pr,Sm,Milling Time,Abs. Pressure,Abs. Temperature,Hydrogen Abs. Time 
6.6,0.4,0,0,0,0,0,12,30,250,1935
6.6,0.4,0,0,0,0,0,12,30,300,2280
6.6,0.4,0,0,0,0,0,12,30,350,2620
5.4,1.6,0,0,0,0,0,12,30,250,2585
5.4,1.6,0,0,0,0,0,12,30,300,1852
5.4,1.6,0,0,0,0,0,12,30,350,2735
2,5,0,0,0,0,0,12,30,250,3210
2,5,0,0,0,0,0,12,30,300,2140
2,5,0,0,0,0,0,12,30,350,389.7
10,0,0,0,5,0,0,5,30,320,1202
10,0,0,0,5,0,0,5,30,340,2768
10,0,0,0,5,0,0,5,30,360,592
10,0,0,0,5,0,0,0,30,320,978
10,0,0,0,5,0,0,0,30,340,970
10,0,0,0,5,0,0,0,30,360,1928.5
0,0,0,0,0,0,0,2,20,200,780
0,0,0,0,0,0,0,2,20,250,600
0,0,0,0,0,0,0,2,20,300,443
0,0,0,0,0,0,0,2,20,350,389.8
10,0,0,7,0,0,3,20,30,280,1804
10,0,0,7,0,0,3,20,30,300,877
10,0,0,7,0,0,3,20,30,320,1378
10,0,0,7,0,0,3,20,30,340,1580
10,0,0,7,0,0,3,20,30,360,921
7,0,0,0,3,0,0,5,35,360,2045
7,0,0,0,3,0,0,10,35,300,1686
7,0,0,0,3,0,0,20,35,100,2520
7,0,0,0,3,0,0,5,35,360,2283
7,0,0,0,3,0,0,10,35,300,1688
7,0,0,0,3,0,0,15,35,200,2176
7,0,0,0,3,0,0,20,35,100,2894
7,0,0,0,3,0,0,5,35,360,2515
7,0,0,0,3,0,0,10,35,300,780
7,0,0,0,3,0,0,15,35,200,2763
7,0,0,0,3,0,0,20,35,100,1800.5
7,0,0,0,3,0,0,5,35,360,2772
7,0,0,0,3,0,0,10,35,300,2406.5
7,0,0,0,3,0,0,15,35,200,2529
7,0,0,0,3,0,0,20,35,100,2778
10,0,0,7,3,0,0,5,30,280,560
10,0,0,7,3,0,0,5,30,300,1690
10,0,0,7,3,0,0,5,30,320,916
10,0,0,7,3,0,0,5,30,340,1023
10,0,0,7,3,0,0,5,30,360,1240
10,0,0,7,3,0,0,10,30,280,1298
10,0,0,7,3,0,0,10,30,300,1101
10,0,0,7,3,0,0,10,30,320,762
10,0,0,7,3,0,0,10,30,340,1288
10,0,0,7,3,0,0,10,30,360,1715
10,0,0,7,3,0,0,15,30,280,1485
10,0,0,7,3,0,0,15,30,300,1160.9
10,0,0,7,3,0,0,15,30,320,1413
10,0,0,7,3,0,0,15,30,340,680
10,0,0,7,3,0,0,15,30,360,1257
10,0,0,7,3,0,0,20,30,280,857
10,0,0,7,3,0,0,20,30,300,1304
10,0,0,7,3,0,0,20,30,320,1163.2
10,0,0,7,3,0,0,20,30,340,1141
