Ni,Si,Y,La,Ce,Pr,Sm,Milling Time,Abs. Pressure,Abs. Temperature,Hydrogen Abs. Weight (%)
6.6,0.4,0,0,0,0,0,12,30,250,4.6
6.6,0.4,0,0,0,0,0,12,30,300,4.522
6.6,0.4,0,0,0,0,0,12,30,350,4.586
5.4,1.6,0,0,0,0,0,12,30,250,4.486
5.4,1.6,0,0,0,0,0,12,30,300,4.482
5.4,1.6,0,0,0,0,0,12,30,350,4.8
2,5,0,0,0,0,0,12,30,250,4.389
2,5,0,0,0,0,0,12,30,300,4.808
2,5,0,0,0,0,0,12,30,350,5.1
10,0,0,0,5,0,0,5,30,320,5.4
10,0,0,0,5,0,0,5,30,340,5.496
10,0,0,0,5,0,0,5,30,360,5.523
10,0,0,0,5,0,0,0,30,340,5.412
10,0,0,0,5,0,0,0,30,360,5.51
0,0,0,0,0,0,0,2,20,300,4.527
0,0,0,0,0,0,0,2,20,350,4.51
10,0,0,7,0,0,3,20,30,280,4.452
10,0,0,7,0,0,3,20,30,300,4.46
10,0,0,7,0,0,3,20,30,320,4.49
10,0,0,7,0,0,3,20,30,340,4.561
10,0,0,7,0,0,3,20,30,360,4.5
7,0,0,0,3,0,0,5,35,360,5.41
7,0,0,0,3,0,0,10,35,300,5.131
7,0,0,0,3,0,0,15,35,200,5.251
7,0,0,0,3,0,0,20,35,100,5.23
7,0,0,0,3,0,0,5,35,360,5.33
7,0,0,0,3,0,0,10,35,300,5.17
7,0,0,0,3,0,0,15,35,200,5.231
7,0,0,0,3,0,0,20,35,100,5.233
7,0,0,0,3,0,0,5,35,360,5.215
7,0,0,0,3,0,0,10,35,300,5.1
7,0,0,0,3,0,0,15,35,200,5.31
7,0,0,0,3,0,0,20,35,100,5.3
7,0,0,0,3,0,0,20,35,100,4.3
0,0,0,0,0,0,0,0,30,340,5.4
10,0,0,7,3,0,0,5,30,280,4.6
10,0,0,7,3,0,0,5,30,300,4.7
10,0,0,7,3,0,0,5,30,320,4.71
10,0,0,7,3,0,0,5,30,340,4.75
10,0,0,7,3,0,0,5,30,360,4.8
10,0,0,7,3,0,0,10,30,280,4.7
10,0,0,7,3,0,0,10,30,300,4.73
10,0,0,7,3,0,0,10,30,320,4.75
10,0,0,7,3,0,0,10,30,340,4.8
10,0,0,7,3,0,0,10,30,360,4.8
10,0,0,7,3,0,0,15,30,280,4.7
