Ni,Si,Y,La,Ce,Pr,Sm,Milling Time,Des. Temperature,Des. Pressure,Hydrogen Des. Time
6.6,0.4,0,0,0,0,0,12,250,0.1,2040
6.6,0.4,0,0,0,0,0,12,300,0.1,228
6.6,0.4,0,0,0,0,0,12,350,0.1,109.92
5.4,1.6,0,0,0,0,0,12,300,0.1,1152
5.4,1.6,0,0,0,0,0,12,350,0.1,280
2,5,0,0,0,0,0,12,300,0.1,1860
2,5,0,0,0,0,0,12,350,0.1,260
10,0,0,0,5,0,0,5,320,30,290
10,0,0,0,5,0,0,5,340,30,184
10,0,0,0,5,0,0,5,360,30,150
10,0,0,0,5,0,0,0,320,30,230
10,0,0,0,5,0,0,0,340,30,140
10,0,0,0,5,0,0,0,360,30,144
0,0,0,0,0,0,0,2,200,1,881
0,0,0,0,0,0,0,2,250,1,702
0,0,0,0,0,0,0,2,300,1,800
0,0,0,0,0,0,0,2,350,1,851
10,0,0,7,0,0,3,20,280,0.01,1620
10,0,0,7,0,0,3,20,300,0.01,960
10,0,0,7,0,0,3,20,320,0.01,990
10,0,0,7,0,0,3,20,340,0.01,565
10,0,0,7,0,0,3,20,360,0.01,510
7,0,0,0,3,0,0,5,340,0.05,205
7,0,0,0,3,0,0,10,320,0.05,241
7,0,0,0,3,0,0,15,300,0.05,182
7,0,0,0,3,0,0,20,280,0.05,278
7,0,0,0,3,0,0,5,340,0.05,302
7,0,0,0,3,0,0,10,320,0.05,361
7,0,0,0,3,0,0,15,300,0.05,302
7,0,0,0,3,0,0,20,280,0.05,560
7,0,0,0,3,0,0,5,340,0.05,545
7,0,0,0,3,0,0,10,320,0.05,590
7,0,0,0,3,0,0,15,300,0.05,518
7,0,0,0,3,0,0,20,280,0.05,711
7,0,0,0,3,0,0,5,340,0.05,1448
7,0,0,0,3,0,0,10,320,0.05,1270
7,0,0,0,3,0,0,15,300,0.05,1146
7,0,0,0,3,0,0,20,280,0.05,1570
0,0,0,0,0,0,0,0,380,0.01,1548
10,0,0,7,3,0,0,5,280,0.01,850
10,0,0,7,3,0,0,5,300,0.01,456
10,0,0,7,3,0,0,5,320,0.01,294
10,0,0,7,3,0,0,5,340,0.01,163
10,0,0,7,3,0,0,5,360,0.01,116
10,0,0,7,3,0,0,10,280,0.01,671
10,0,0,7,3,0,0,10,300,0.01,357
10,0,0,7,3,0,0,10,320,0.01,397
10,0,0,7,3,0,0,10,340,0.01,181
10,0,0,7,3,0,0,10,360,0.01,160
10,0,0,7,3,0,0,15,280,0.01,747
10,0,0,7,3,0,0,15,300,0.01,397
10,0,0,7,3,0,0,15,320,0.01,216
10,0,0,7,3,0,0,15,340,0.01,208
10,0,0,7,3,0,0,15,360,0.01,138
10,0,0,7,3,0,0,20,280,0.01,1162
10,0,0,7,3,0,0,20,300,0.01,490
10,0,0,7,3,0,0,20,320,0.01,436
10,0,0,7,3,0,0,20,340,0.01,190
10,0,0,7,3,0,0,20,360,0.01,138
10,0,0,7,3,0,0,30,280,0.01,1063
10,0,0,7,3,0,0,30,300,0.01,712
10,0,0,7,3,0,0,30,320,0.01,345
10,0,0,7,3,0,0,30,340,0.01,245
10,0,0,7,3,0,0,30,360,0.01,212
10,0,0,7,0,0,3,0,300,0.01,1627
10,0,0,7,0,0,3,0,320,0.01,1316
10,0,0,7,0,0,3,0,340,0.01,799
10,0,0,7,0,0,3,0,360,0.01,390
10,0,0,7,0,0,3,20,280,0.1,1536
10,0,0,7,0,0,3,20,300,0.1,860
10,0,0,7,0,0,3,20,320,0.1,750
10,0,0,7,0,0,3,20,340,0.1,412
10,0,0,7,0,0,3,20,360,0.1,348
2,0,0,0,0,3,0,0,280,0.0001,1158
2,0,0,0,0,3,0,0,300,0.0001,520
2,0,0,0,0,3,0,0,320,0.0001,309
