Ni,Si,Y,La,Ce,Pr,Sm,Milling Time,Des. Temperature,Des. Pressure,Hydrogen Des. Weight (%)
6.6,0.4,0,0,0,0,0,12,250,0.1,4.4
6.6,0.4,0,0,0,0,0,12,300,0.1,4.4
6.6,0.4,0,0,0,0,0,12,350,0.1,4.9
5.4,1.6,0,0,0,0,0,12,250,0.1,4.4
5.4,1.6,0,0,0,0,0,12,300,0.1,4.6
5.4,1.6,0,0,0,0,0,12,350,0.1,4.7
2,5,0,0,0,0,0,12,250,0.1,4.6
2,5,0,0,0,0,0,12,300,0.1,4.9
2,5,0,0,0,0,0,12,350,0.1,4.9
10,0,0,0,5,0,0,5,320,30,5.1
10,0,0,0,5,0,0,5,340,30,5.1
10,0,0,0,5,0,0,5,360,30,5.2
10,0,0,0,5,0,0,0,320,30,5
10,0,0,0,5,0,0,0,340,30,5
10,0,0,0,5,0,0,0,360,30,5.1
0,0,0,0,0,0,0,2,200,1,4.2
0,0,0,0,0,0,0,2,250,1,4.34
0,0,0,0,0,0,0,2,300,1,4.6
0,0,0,0,0,0,0,2,350,1,4.3
10,0,0,7,0,0,3,20,280,0.01,4
10,0,0,7,0,0,3,20,300,0.01,4.1
10,0,0,7,0,0,3,20,320,0.01,4.2
10,0,0,7,0,0,3,20,340,0.01,4.2
10,0,0,7,0,0,3,20,360,0.01,4.2
7,0,0,0,3,0,0,5,340,0.05,5.428
7,0,0,0,3,0,0,10,320,0.05,5.36
7,0,0,0,3,0,0,15,300,0.05,5.46
7,0,0,0,3,0,0,20,280,0.05,5.446
7,0,0,0,3,0,0,5,340,0.05,5.43
7,0,0,0,3,0,0,10,320,0.05,5.431
7,0,0,0,3,0,0,15,300,0.05,5.498
7,0,0,0,3,0,0,20,280,0.05,5.3
7,0,0,0,3,0,0,5,340,0.05,5.28
7,0,0,0,3,0,0,10,320,0.05,5.32
7,0,0,0,3,0,0,15,300,0.05,5.473
7,0,0,0,3,0,0,20,280,0.05,5.36
7,0,0,0,3,0,0,5,340,0.05,5.31
7,0,0,0,3,0,0,10,320,0.05,5.44
7,0,0,0,3,0,0,15,300,0.05,5.34
7,0,0,0,3,0,0,20,280,0.05,5.25
10,0,0,7,3,0,0,5,280,0.01,4.3
10,0,0,7,3,0,0,5,300,0.01,4.4
10,0,0,7,3,0,0,5,320,0.01,4.47
10,0,0,7,3,0,0,5,340,0.01,4.53
10,0,0,7,3,0,0,5,360,0.01,4.65
10,0,0,7,3,0,0,10,280,0.01,4.23
10,0,0,7,3,0,0,10,300,0.01,4.34
10,0,0,7,3,0,0,10,320,0.01,4.45
10,0,0,7,3,0,0,10,340,0.01,4.56
10,0,0,7,3,0,0,10,360,0.01,4.6
10,0,0,7,3,0,0,15,280,0.01,4.28
10,0,0,7,3,0,0,15,300,0.01,4.34
10,0,0,7,3,0,0,15,320,0.01,4.41
10,0,0,7,3,0,0,15,340,0.01,4.61
10,0,0,7,3,0,0,15,360,0.01,4.6
10,0,0,7,3,0,0,20,280,0.01,4.1
10,0,0,7,3,0,0,20,300,0.01,4.22
10,0,0,7,3,0,0,20,320,0.01,4.31
10,0,0,7,3,0,0,20,340,0.01,4.322
10,0,0,7,3,0,0,20,360,0.01,4.26
10,0,0,7,3,0,0,30,280,0.01,4.11
10,0,0,7,3,0,0,30,300,0.01,4.3
10,0,0,7,3,0,0,30,320,0.01,4.28
10,0,0,7,3,0,0,30,340,0.01,4.35
10,0,0,7,3,0,0,30,360,0.01,4.475
10,0,0,7,0,0,3,0,280,0.01,4.2
10,0,0,7,0,0,3,0,300,0.01,4.48
10,0,0,7,0,0,3,0,320,0.01,4.65
10,0,0,7,0,0,3,0,340,0.01,4.675
10,0,0,7,0,0,3,0,360,0.01,4.61
10,0,0,7,0,0,3,20,280,0.1,4
10,0,0,7,0,0,3,20,300,0.1,4.12
10,0,0,7,0,0,3,20,320,0.1,4.1
10,0,0,7,0,0,3,20,340,0.1,4.19
10,0,0,7,0,0,3,20,360,0.1,4.2
2,0,0,0,0,3,0,0,280,0.0001,4.9
2,0,0,0,0,3,0,0,300,0.0001,4.957
2,0,0,0,0,3,0,0,320,0.0001,5
2,0,0,0,0,3,0,0,340,0.0001,5.244
2,0,0,0,0,3,0,0,360,0.0001,5.356
2,0,0,0,0,3,0,5,280,0.0001,4.971
2,0,0,0,0,3,0,5,300,0.0001,5.186
2,0,0,0,0,3,0,5,320,0.0001,5.3
2,0,0,0,0,3,0,5,340,0.0001,5.51
2,0,0,0,0,3,0,5,360,0.0001,5.575
2,0,0,0,0,3,0,10,300,0.0001,4.1
2,0,0,0,0,3,0,10,320,0.0001,4.48
